"state","income16","income14","income12","gopshare10","gopshare12","gopshare14","gopshare16","VEPtotal14","VEPtotal12","VEPtotal10","hispsh16","hispsh14","hispsh12","ballots16","VEP16","ballots14","VEP14","ballots12","VEP12","religsh"
"Alabama","47221","42278","43464",0.685798431380784,0.640137988150205,0.655195470667775,0.662725083232597,0.332,0.59,0.433,0.0399703459746458,0.039819597739824,0.0381527239296627,2134061,3609447,1191274,3588783,2088326,3539217,0.5
"Alaska","75723","67629","63648",0.69324479228428,0.690828154185137,0.554379525146399,0.582803158128121,0.548,0.589,0.529,0.0665409069626996,0.0621268707950021,0.056769492321473,321271,522679,285431,520562,301694,511792,0.27
"Arizona","57100","49254","47044",0.558508807347302,0.544420267509262,0.594556306671737,0.554293882571324,0.341,0.53,0.416,0.305391318253473,0.301306283486926,0.296826116572835,2661497,4740310,1537671,4510186,2323579,4387900,0.31
"Arkansas","45907","44922","39018",0.57794496128867,0.676588908072384,0.666702860394686,0.872273625140807,0.403,0.511,0.379,0.0697493525288431,0.067223135380769,0.0635169313105461,1137772,2140097,852642,2117881,1078548,2109847,0.47
"California","66637","60487","57020",0.448988594357087,0.364109838857639,0.410945965605695,0.334919287335669,0.307,0.557,0.459,0.385572064266435,0.381813107023106,0.375728960493789,14610509,25104844,7513972,24440416,13202158,23681837,0.21
"Colorado","70566","60940","57255",0.524669244812254,0.514308556536144,0.516466884985857,0.504863444690878,0.547,0.706,0.517,0.211276296602445,0.209444010481801,0.206327251656949,2859216,3974405,2080071,3800664,2596173,3675871,0.28
"Connecticut","75923","70161","64247",0.41903775471831,0.356791163204066,0.407109830669558,0.378420816053403,0.425,0.614,0.459,0.149844645638792,0.142758194269405,0.134422275491411,1675955,2582761,1096556,2577311,1560640,2543202,0.14
"Delaware","58046","57522","48972",0.419559509674398,0.341744581105639,0.382855883847354,0.424538320336081,0.349,0.627,0.49,0.088437404714907,0.085706496848625,0.0813548250199138,445228,691720,238110,681526,420959,663967,0.16
"D.C.","70982","68277","65246",0.0643066162301049,0.062784017508397,0.0750212087714337,1,0.357,0.616,0.296,0.104863514762317,0.0988376863552015,0.0928735685313796,312575,515248,177176,495899,294254,477582,0.1
"Florida","51176","46140","46071",0.618460768314953,0.530068184657939,0.560158676124532,0.542929663664683,0.433,0.633,0.422,0.241133001355292,0.233304386288211,0.2249082771481,9580489,14601066,6026802,13914216,8538264,13495057,0.25
"Georgia","53527","49555","48121",0.619059675777368,0.592208708946635,0.585171488095316,0.602631151155813,0.386,0.593,0.406,0.0917873678623907,0.0905065687931758,0.0878682317249484,4165405,6959963,2596947,6725041,3919355,6606607,0.39
"Hawaii","72133","71223","56263",0.363168212129138,0.325487114798871,0.337804233101912,0.213057769395184,0.365,0.445,0.403,0.100325181283083,0.0958459227517118,0.0901734019211436,437664,1012860,369554,1012123,437159,982902,0.28
"Idaho","56564","53438","47922",0.636058400850976,0.661366810217993,0.632131448925658,0.681674729184691,0.398,0.61,0.429,0.11959097098533,0.11652278513302,0.111947738331921,710545,1166706,445307,1119882,666290,1091410,0.4
"Illinois","61386","54916","51738",0.478269525727881,0.445886919572172,0.485765284186508,0.460339648523456,0.408,0.593,0.431,0.166240782141858,0.162835977737382,0.158094676641822,5666118,8985443,3680417,9028752,5279752,8899143,0.21
"Indiana","56094","48060","46158",0.58873650002754,0.541936580558823,0.611033213362193,0.578146072142602,0.287,0.56,0.381,0.0651820192431139,0.0629028044859915,0.0599941716405598,2807676,4849937,1387622,4829510,2663368,4755291,0.32
"Iowa","59094","57810","53442",0.554553656960813,0.48469469448099,0.53921799296686,0.54679642961371,0.503,0.706,0.507,0.0555937718185444,0.0529902056972512,0.0495552961203499,1581371,2288536,1142284,2269179,1589951,2251748,0.29
"Kansas","56810","53444","50003",0.657598788736042,0.791235533686569,0.634477159075709,0.643044643733779,0.433,0.582,0.426,0.113080048525131,0.109659008528082,0.104741084665558,1225667,2054025,887023,2048164,1182771,2030686,0.32
"Kentucky","45369","42786","41086",0.625139928688194,0.600108857775914,0.635814458169809,0.707143844572713,0.449,0.562,0.443,0.0333058400644245,0.0318565674226925,0.0301921562004411,1955195,3282420,1459409,3247300,1815843,3229185,0.5
"Louisiana","42196","42406","39085",0.684554554595138,0.760893399555457,0.831722504944267,0.750002845936425,0.449,0.608,0.4,0.0480895113083796,0.0457556526783349,0.0425162900517816,2049531,3384435,1503975,3349433,2014548,3311626,0.28
"Maine","50856","51710","49158",0.439763540932014,0.383369294653654,0.427649429134486,0.480391735230636,0.587,0.693,0.559,0.0148670261360996,0.0139943622110069,0.0129720920573869,771892,1058372,616996,1051557,724758,1046008,0.16
"Maryland","73760","76165","71836",0.379151572680006,0.29744912887352,0.418621153205001,0.345370741859853,0.42,0.673,0.467,0.0923078936532849,0.0875923268820009,0.0816325860392955,2807322,4189616,1745104,4154546,2734062,4063582,0.19
